Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100000,+77,4636 ,,93858.0,+31,1506.0,14,69,3,160000000,111163,1439323776 
USA,51446574,+155795,825066 ,+1320,40407802.0,+64241,10213706.0,15671,154108,2471,783252447,2346232,333834210
India,34726049,+7380,476869 ,+391,34154879.0,+7948,94301.0,8944,24808,341,660247762,471676,1399791068
Brazil,22204941,+3720,617521 ,+173,21414318.0,,173102.0,8318,103393,2875,63776166,296960,214763447
UK,11097309,+88195,146937 ,+146,9658375.0,+40434,1291997.0,886,162227,2148,382575086,5592691,68406258
Russia,10131646,+28486,294024 ,+1133,8876788.0,+37155,960834.0,2300,69383,2014,233300000,1597663,146025778
Turkey,9118424,+18100,79863 ,+167,8712929.0,+25664,325632.0,1128,106446,932,113329305,1322975,85662476
France,8460712,+60866,121171 ,+188,7430199.0,+34285,909342.0,2832,129202,1850,175073861,2673526,65484265
Germany,6709218,+53057,108154 ,+479,5618600.0,+58900,982464.0,4636,79706,1285,87852398,1043690,84174831
Iran,6165454,+2500,130946 ,+63,5990898.0,+5163,43610.0,2957,72060,1530,40463565,472924,85560380
Spain,5422168,+28900,88667 ,+48,4965069.0,+3189,368432.0,1292,115905,1895,66213858,1415394,46781205
Argentina,5376642,+5301,116874 ,+17,5225452.0,+3239,34316.0,756,117392,2552,26897346,587270,45800634
Italy,5308163,+26092,135301 ,+112,4854949.0,+13704,317913.0,917,87982,2243,128435536,2128810,60332074
Colombia,5101466,+1720,129295 ,+39,4942391.0,+2079,29780.0,342,98724,2502,28830092,557925,51673771
Indonesia,4259857,+213,143979 ,+10,4111045.0,+234,4833.0,,15337,518,59343891,213666,277741448
Mexico,3924638,+2956,297187 ,+204,3279903.0,+2283,347548.0,4798,29980,2270,12114652,92543,130908180
Poland,3903445,+22097,90306 ,+592,3361528.0,+17306,451611.0,2130,103304,2390,25966712,687202,37786117
Ukraine,3588147,+9590,92313 ,+355,3284815.0,+25499,211019.0,177,82771,2129,16405911,378450,43350239
South Africa,3255816,+24785,90262 ,+36,2954919.0,+5710,210635.0,546,53905,1494,20516511,339683,60398940
Netherlands,2936761,+16323,20310 ,+55,2314217.0,+20127,602234.0,625,170839,1181,19205114,1117213,17190193
Philippines,2836882,+155,50496 ,+47,2776233.0,+188,10153.0,899,25396,452,24814389,222137,111707434
Malaysia,2707402,+4262,31026 ,+37,2620147.0,+4985,56229.0,383,82116,941,39369907,1194091,32970601
Czechia,2378791,+11622,35024 ,+120,2134243.0,+531,209524.0,942,221531,3262,45849736,4269870,10737971
Peru,2260180,+1724,202076 ,+84,,,,943,67184,6007,21022179,624890,33641433
Thailand,2181960,+3684,21284 ,+26,2115232.0,+4531,45444.0,1061,31146,304,14913135,212876,70055541
Iraq,2089669,+410,24030 ,+13,2058306.0,+800,7333.0,97,50308,579,16625478,400256,41537114
Belgium,1980120,+11851,27729 ,+44,1478145.0,+11864,474246.0,815,169775,2377,26170803,2243876,11663212
Canada,1857999,+6942,30012 ,+18,1784078.0,+3399,43909.0,455,48607,785,50492289,1320930,38224796
Romania,1796230,+812,58039 ,+65,1721785.0,+1280,16406.0,600,94288,3047,16569691,869784,19050362
Chile,1787676,+1492,38773 ,+46,1691729.0,+1685,57174.0,661,92360,2003,26559369,1372185,19355533
Japan,1729208,+173,18376 ,+1,1709839.0,+115,993.0,27,13734,146,28655863,227588,125911362
Bangladesh,1580559,+257,28041 ,+3,1545114.0,+181,7404.0,1352,9460,168,11218461,67143,167082195
Vietnam,1493237,+15270,28857 ,+241,1064461.0,+1033,399919.0,7852,15142,293,71914717,729240,98615930
Israel,1353281,+878,8230 ,+3,1338654.0,+820,6397.0,78,145108,882,36081323,3868896,9326000 
